generator_type,rho,alpha,delta,K,T,seed,method,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,worst_window_dip,worst_window_recovery,budget_normalized_score,final_accuracy,accuracy_auc
sine,10.0,0.0,0.5,10,20,43,FedProTrack,0.925,0.998517,0.075,0.2604,6,0.0013,0.3588,10.4024
sine,10.0,0.0,0.5,10,20,43,IFCA,0.93,0.0,0.07,0.298,4,0.001208,0.5988,11.02
sine,10.0,0.0,0.5,10,20,43,FedProto,,,,0.3464,6,0.001773,0.3092,10.7812
sine,10.0,0.0,0.5,10,20,43,FedAvg,,,,0.326,6,,0.3284,10.498
sine,10.0,0.0,0.5,10,20,44,FedProTrack,0.86,0.785554,0.14,0.126,6,0.001247,0.4192,9.974
sine,10.0,0.0,0.5,10,20,44,IFCA,0.905,0.0,0.095,0.2614,6,0.001258,0.5928,11.4723
sine,10.0,0.0,0.5,10,20,44,FedProto,,,,0.3452,6,0.001826,0.3202,11.1021
sine,10.0,0.0,0.5,10,20,44,FedAvg,,,,0.3248,6,,0.3448,10.7996
sine,10.0,0.0,0.5,10,20,45,FedProTrack,0.88,0.994762,0.12,0.0,0,0.001423,0.3548,11.3812
sine,10.0,0.0,0.5,10,20,45,IFCA,0.995,0.0,0.005,0.0,0,0.0013,0.3544,11.855
sine,10.0,0.0,0.5,10,20,45,FedProto,,,,0.0,0,0.002062,0.3372,12.5352
sine,10.0,0.0,0.5,10,20,45,FedAvg,,,,0.0,0,,0.3308,12.136
sine,10.0,0.0,0.5,10,20,46,FedProTrack,0.91,1.065624,0.09,0.0,0,0.001561,0.6808,12.4854
sine,10.0,0.0,0.5,10,20,46,IFCA,1.0,0.0,0.0,0.0,0,0.00132,0.652,12.0361
sine,10.0,0.0,0.5,10,20,46,FedProto,,,,0.0,0,0.002089,0.6908,12.7004
sine,10.0,0.0,0.5,10,20,46,FedAvg,,,,0.0,0,,0.6856,12.311
sine,10.0,0.0,0.5,10,20,47,FedProTrack,0.905,0.764749,0.095,0.0,0,0.001279,0.5408,10.2332
sine,10.0,0.0,0.5,10,20,47,IFCA,0.76,0.0,0.24,0.0,0,0.00125,0.6178,11.3967
sine,10.0,0.0,0.5,10,20,47,FedProto,,,,0.0,0,0.002099,0.6778,12.7634
sine,10.0,0.0,0.5,10,20,47,FedAvg,,,,0.0,0,,0.5568,9.5828
sine,10.0,0.0,0.5,10,20,48,FedProTrack,0.905,1.003922,0.095,0.0,0,0.001535,0.6728,12.279
sine,10.0,0.0,0.5,10,20,48,IFCA,0.76,0.0,0.24,0.0,0,0.001245,0.6184,11.3542
sine,10.0,0.0,0.5,10,20,48,FedProto,,,,0.0,0,0.002098,0.6736,12.7587
sine,10.0,0.0,0.5,10,20,48,FedAvg,,,,0.0,0,,0.5692,9.566
