T,seed,method,final_accuracy,accuracy_auc,concept_re_id_accuracy,wrong_memory_reuse_rate,assignment_entropy,total_bytes,wall_clock_s
15,42,FedProTrack-hybrid-proto,0.4425,5.39625,0.3,0.7,1.473654459516189e-11,364560.0,0.38631153106689453
15,42,CFL,0.4975,6.166875,,,,291200.0,0.1664109230041504
15,42,IFCA,0.23750000000000002,2.44625,0.23333333333333334,0.7666666666666667,0.12118783150794807,728000.0,0.2296006679534912
15,43,FedProTrack-base,0.18500000000000003,4.21875,0.4666666666666667,0.5333333333333333,0.4770350838020946,317312.0,0.4213554859161377
15,43,FedProTrack-hybrid-proto,0.21500000000000002,5.55375,0.2,0.8,1.473654459516189e-11,364560.0,0.31947970390319824
15,43,CFL,0.34375,6.30625,,,,291200.0,0.14811348915100098
15,43,IFCA,0.12875,2.5393749999999997,0.21666666666666667,0.7833333333333333,0.037489009833069624,728000.0,0.19097137451171875
15,44,FedProTrack-base,0.4725,4.51625,0.4666666666666667,0.5333333333333333,0.4783524806893418,317312.0,0.4429442882537842
15,44,FedProTrack-hybrid-proto,0.5850000000000001,5.9750000000000005,0.21666666666666667,0.7833333333333333,1.473654459516189e-11,364560.0,0.3882300853729248
15,44,CFL,0.6937500000000001,6.6325,,,,291200.0,0.161393404006958
15,44,IFCA,0.345,2.6737499999999996,0.23333333333333334,0.7666666666666667,0.037489009833069624,728000.0,0.2638862133026123
15,45,FedProTrack-base,0.4125,4.797499999999999,0.4166666666666667,0.5833333333333334,0.466424885930565,312112.0,0.5366377830505371
15,45,FedProTrack-hybrid-proto,0.44,5.68125,0.25,0.75,0.0353105855472728,359360.0,0.5328361988067627
15,45,CFL,0.5075000000000001,6.525625000000001,,,,291200.0,0.23716068267822266
15,45,IFCA,0.22374999999999998,2.5362500000000003,0.23333333333333334,0.7666666666666667,1.936671700366453e-10,728000.0,0.2901570796966553
15,46,FedProTrack-base,0.475,4.629999999999999,0.5,0.5,0.46773092426820273,317312.0,0.5824065208435059
15,46,FedProTrack-hybrid-proto,0.46,5.7700000000000005,0.2833333333333333,0.7166666666666667,1.473654459516189e-11,364560.0,0.45351505279541016
15,46,CFL,0.5625,6.439374999999999,,,,291200.0,0.22210144996643066
15,46,IFCA,0.2575,2.5225000000000004,0.2833333333333333,0.7166666666666667,0.04620981222914324,728000.0,0.26776790618896484
20,42,FedProTrack-base,0.5125,6.163750000000001,0.3875,0.6125,0.5629958392191539,462960.0,0.8676917552947998
20,42,FedProTrack-hybrid-proto,0.575,7.265,0.1875,0.8125,0.028356596773736902,515600.0,0.5164363384246826
20,42,CFL,0.66375,8.740000000000002,,,,374400.0,0.28665828704833984
20,42,IFCA,0.36875,3.480625,0.1625,0.8375,0.028116757478481042,936000.0,0.3974587917327881
20,43,FedProTrack-base,0.425,6.625,0.45,0.55,0.5360820739220385,462960.0,0.8620333671569824
20,43,FedProTrack-hybrid-proto,0.45499999999999996,7.940000000000001,0.2875,0.7125,0.026547743495387355,515600.0,0.5605254173278809
20,43,CFL,0.47875,9.423125,,,,374400.0,0.2954685688018799
20,43,IFCA,0.265,3.5943750000000003,0.2625,0.7375,0.028116757478481042,936000.0,0.35091543197631836
20,44,FedProTrack-base,0.4325,5.683750000000001,0.5125,0.4875,0.5702139400328278,462960.0,0.7019402980804443
20,44,FedProTrack-hybrid-proto,0.49,7.3125,0.175,0.825,1.3815510557964273e-11,520800.0,0.4508183002471924
20,44,CFL,0.57125,8.524375,,,,374400.0,0.2824435234069824
20,44,IFCA,0.29625,3.5,0.175,0.825,2.489292122685024e-10,936000.0,0.32358574867248535
20,45,FedProTrack-base,0.475,6.04875,0.4125,0.5875,0.5619513934335002,462960.0,0.717742919921875
20,45,FedProTrack-hybrid-proto,0.4875,7.07,0.1875,0.8125,0.027065285922005272,510400.0,0.5818636417388916
20,45,CFL,0.61,8.7175,,,,374400.0,0.28672099113464355
20,45,IFCA,0.32,3.375625,0.1875,0.8125,2.489292122685024e-10,936000.0,0.3337993621826172
20,46,FedProTrack-base,0.4375,6.8412500000000005,0.3875,0.6125,0.5548070825853779,462960.0,0.7300746440887451
20,46,FedProTrack-hybrid-proto,0.48250000000000004,8.11125,0.225,0.775,0.02632406630940881,510400.0,0.4155454635620117
20,46,CFL,0.5800000000000001,9.602500000000001,,,,374400.0,0.2353832721710205
20,46,IFCA,0.27625,3.8743750000000006,0.1875,0.8125,2.489292122685024e-10,936000.0,0.2991757392883301
30,42,FedProTrack-base,0.58,11.975000000000001,0.39166666666666666,0.6083333333333333,0.6111299880582741,697040.0,1.3980247974395752
30,42,FedProTrack-hybrid-proto,0.5399999999999999,12.5775,0.14166666666666666,0.8583333333333333,0.017717417074772226,765600.0,0.6406762599945068
30,42,CFL,0.665,15.314374999999998,,,,582400.0,0.36798572540283203
30,42,IFCA,0.375,7.218125000000001,0.13333333333333333,0.8666666666666667,0.05623351484618799,1456000.0,0.46637558937072754
30,43,FedProTrack-base,0.4275,11.28,0.375,0.625,0.6277290361058533,697040.0,1.3466196060180664
30,43,FedProTrack-hybrid-proto,0.45,12.63375,0.16666666666666666,0.8333333333333334,0.017301962195791196,776000.0,0.7022614479064941
30,43,CFL,0.55625,15.037499999999998,,,,582400.0,0.3524801731109619
30,43,IFCA,0.34625,7.652499999999999,0.18333333333333332,0.8166666666666667,0.13993233652106643,1456000.0,0.4410066604614258
30,44,FedProTrack-base,0.37,10.174999999999999,0.39166666666666666,0.6083333333333333,0.6186274851124176,697040.0,1.285675287246704
30,44,FedProTrack-hybrid-proto,0.38,12.555000000000001,0.14166666666666666,0.8583333333333333,0.019211813918068418,776000.0,0.6986086368560791
30,44,CFL,0.47125000000000006,14.586875,,,,582400.0,0.3836047649383545
30,44,IFCA,0.265,6.842499999999999,0.11666666666666667,0.8833333333333333,3.870843178481452e-10,1456000.0,0.45832276344299316
30,45,FedProTrack-base,0.445,10.588750000000003,0.36666666666666664,0.6333333333333333,0.6348662917556357,697040.0,1.1090729236602783
30,45,FedProTrack-hybrid-proto,0.4375,11.5125,0.15833333333333333,0.8416666666666667,0.017436521543780177,776000.0,0.4987938404083252
30,45,CFL,0.5862499999999999,13.925000000000002,,,,582400.0,0.29065990447998047
30,45,IFCA,0.29375,6.269374999999999,0.14166666666666666,0.8583333333333333,3.870843178481452e-10,1456000.0,0.35878515243530273
30,46,FedProTrack-base,0.37,10.75375,0.30833333333333335,0.6916666666666667,0.6407753774100908,697040.0,0.9036343097686768
30,46,FedProTrack-hybrid-proto,0.365,11.448749999999999,0.10833333333333334,0.8916666666666667,1.3815510557964276e-11,781200.0,0.48430585861206055
30,46,CFL,0.49124999999999996,14.165,,,,582400.0,0.2911064624786377
30,46,IFCA,0.2375,6.734375,0.16666666666666666,0.8333333333333334,0.13557193532302966,1456000.0,0.3697824478149414
40,42,FedProTrack-base,0.47250000000000003,16.33125,0.36875,0.63125,0.6792378579420563,931120.0,1.6638479232788086
40,42,FedProTrack-hybrid-proto,0.445,16.992500000000003,0.14375,0.85625,0.03948544414425845,1026000.0,0.6360859870910645
40,42,CFL,0.60625,20.84875,,,,790400.0,0.3791317939758301
40,42,IFCA,0.34,10.126250000000002,0.10625,0.89375,0.014058379140015337,1976000.0,0.485734224319458
40,43,FedProTrack-base,0.49749999999999994,15.2375,0.3625,0.6375,0.6642439230840423,925920.0,1.6095895767211914
40,43,FedProTrack-hybrid-proto,0.49499999999999994,17.56125,0.15,0.85,1.3815510557964273e-11,1041600.0,0.6174378395080566
40,43,CFL,0.61625,20.994999999999997,,,,790400.0,0.40174150466918945
40,43,IFCA,0.36624999999999996,10.478750000000002,0.15625,0.84375,0.02811675775479125,1976000.0,0.48722386360168457
40,44,FedProTrack-base,0.445,16.165,0.36875,0.63125,0.6716132736222109,931120.0,1.6446285247802734
40,44,FedProTrack-hybrid-proto,0.455,17.5375,0.125,0.875,0.012496763083939166,1036400.0,0.6257600784301758
40,44,CFL,0.57375,20.955624999999998,,,,790400.0,0.37877464294433594
40,44,IFCA,0.29375,10.471250000000001,0.11875,0.88125,0.014058379140015337,1976000.0,0.4684298038482666
40,45,FedProTrack-base,0.4625,15.118749999999999,0.275,0.725,0.6838713347157924,931120.0,1.597949743270874
40,45,FedProTrack-hybrid-proto,0.48,17.005000000000003,0.14375,0.85625,1.3815510557964273e-11,1041600.0,0.6333198547363281
40,45,CFL,0.635,20.37125,,,,790400.0,0.37993693351745605
40,45,IFCA,0.41250000000000003,10.495000000000001,0.14375,0.85625,5.252394234277879e-10,1976000.0,0.49388980865478516
40,46,FedProTrack-base,0.5149999999999999,16.57125,0.35625,0.64375,0.6728086214913473,931120.0,1.6598515510559082
40,46,FedProTrack-hybrid-proto,0.46749999999999997,17.130000000000003,0.10625,0.89375,0.04688788413009194,1031200.0,0.6694371700286865
40,46,CFL,0.62375,21.203125000000004,,,,790400.0,0.38582611083984375
40,46,IFCA,0.33125,10.556874999999998,0.09375,0.90625,5.252394234277879e-10,1976000.0,0.4977102279663086
